Graph,Freq,Freq_Host,Layer,Metric,Energy_B,Energy_G,Energy_L,Power_B,Power_G,Power_L,Time_B,Time_G,Time_L,Min_Time,Min_Time_Component,Min_Energy,Min_Energy_Component
InceptionV4,max,max,9,task,177.03,76.49,240.29,6806.96,3724.82,3282.12,26.01,20.53,73.21,20.53,G,76.49,G
InceptionV4,max,max,10,task,379.20,220.04,487.64,7623.85,3567.97,3811.35,49.74,61.67,127.95,49.74,B,220.04,G
InceptionV4,max,max,11,task,353.08,199.66,471.49,7173.63,3596.20,3653.92,49.22,55.52,129.04,49.22,B,199.66,G
InceptionV4,max,max,12,task,351.57,200.30,485.77,7204.76,3599.55,3605.30,48.80,55.65,134.74,48.80,B,200.30,G
InceptionV4,max,max,13,task,349.08,199.01,496.77,7204.14,3577.74,3601.29,48.46,55.62,137.94,48.46,B,199.01,G
InceptionV4,max,max,14,task,351.04,199.00,494.84,7236.91,3556.86,3592.17,48.51,55.95,137.76,48.51,B,199.00,G
InceptionV4,max,max,15,task,348.89,199.01,492.33,7170.88,3564.61,3575.84,48.65,55.83,137.68,48.65,B,199.01,G
InceptionV4,max,max,16,task,348.37,199.15,473.44,7238.55,3562.25,3628.33,48.13,55.91,130.48,48.13,B,199.15,G
InceptionV4,max,max,17,task,347.84,202.34,469.28,7138.52,3579.13,3637.94,48.73,56.53,129.00,48.73,B,202.34,G
InceptionV4,max,max,18,task,195.40,136.63,268.46,7314.97,3577.13,3732.28,26.71,38.20,71.93,26.71,B,136.63,G
InceptionV4,max,max,19,task,126.19,88.44,189.73,6525.11,3552.28,3516.21,19.34,24.90,53.96,19.34,B,88.44,G
InceptionV4,max,max,20,task,127.13,87.36,189.88,6559.31,3527.78,3500.74,19.38,24.76,54.24,19.38,B,87.36,G
InceptionV4,max,max,21,task,126.99,86.36,193.41,6627.28,3516.02,3490.38,19.16,24.56,55.41,19.16,B,86.36,G
InceptionV4,max,max,22,task,4.64,4.39,6.12,2830.95,2417.17,2493.22,1.64,1.82,2.45,1.64,B,4.39,G
InceptionV4,max,max,22,out,6.04,7.20,7.47,3414.21,3054.17,2571.39,1.77,2.36,2.90,1.77,B,6.04,B
